IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
6700823	The Wings of Eagles	1957	Romanian	ro	2016-08-03 00:00:32	51198	srt	1	 The.Wings.of.Eagles.1957.DVDRip.XviD-NoGrp	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700823/the-wings-of-eagles-ro
6700824	Avril et le monde truque	2015	Greek	el	2016-08-03 00:00:51	3422078	srt	1	 April.and.the.Extraordinary.World.2015.LIMITED.1080p.BluRay.x264-GECKOS	25.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700824/avril-et-le-monde-truque-el
6700825	"The Jinx: The Life and Deaths of Robert Durst" The Gangsters Daughter	2015	Greek	el	2016-08-03 00:01:52	4488562	srt	1	 The.Jinx-The.Life.and.Deaths.of.Robert.Durst.Part.3.HDTV.x264-BATV	23.976	1	3	4299972	tv	http://www.opensubtitles.org/subtitles/6700825/the-jinx-the-life-and-deaths-of-robert-durst-the-gangsters-daughter-el
6700826	"Suits" Denial	2015	Hungarian	hu	2016-08-03 00:03:07	4503862	srt	1	 Suits - 5x04 - No Puedo Hacerlo (INTERNAL.HDTV-BATV, INTERNAL.HDTV-AFG, INTERNAL.HDTV-FUM, INTERNAL	23.976	5	1	1632701	tv	http://www.opensubtitles.org/subtitles/6700826/suits-denial-hu
6700827	"Outcast" What Lurks Within	2016	Turkish	tr	2016-08-03 00:04:05	5074152	srt	1	 Outcast.S01E08.What.Lurks.Within.720p.WEB-DL.DD5.1.H.264-R2D2	23.976	1	8	4229954	tv	http://www.opensubtitles.org/subtitles/6700827/outcast-what-lurks-within-tr
6700829	"Once Upon a Time" The Brothers Jones	2016	Portuguese	pt	2016-08-03 00:04:51	5218026	srt	1	 Once.Upon.a.Time.S05E15.720p.HDTV.x264-AVS	23.976	5	15	1843230	tv	http://www.opensubtitles.org/subtitles/6700829/once-upon-a-time-the-brothers-jones-pt
6700830	"Once Upon a Time" The Brothers Jones	2016	Portuguese	pt	2016-08-03 00:04:51	5218026	srt	1	 Once.Upon.a.Time.S05E15.HDTV.x264-FLEET	23.976	5	15	1843230	tv	http://www.opensubtitles.org/subtitles/6700830/once-upon-a-time-the-brothers-jones-pt
6700831	"Once Upon a Time" The Brothers Jones	2016	Portuguese	pt	2016-08-03 00:04:51	5218026	srt	1	 Once.Upon.a.Time.S05E15.WEB-DL.x264-FUM	23.976	5	15	1843230	tv	http://www.opensubtitles.org/subtitles/6700831/once-upon-a-time-the-brothers-jones-pt
6700832	Molly Moon and the Incredible Book of Hypnotism	2015	German	de	2016-08-03 00:08:47	2445178	srt	1	 Molly.Moon.2015.German.DL.1080p.BluRay.x264-LeetHD_forced	24.000	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700832/molly-moon-and-the-incredible-book-of-hypnotism-de
6700833	The Bronze	2015	Arabic	ar	2016-08-03 00:09:09	3859304	srt	1	 The.Bronze.2015.720p.BluRay.x264-[YTS.AG]	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/6700833/the-bronze-ar
